acknowledgement_issue_title,network_abbr_name,acknowledgement_date_added,cds_cloud,is_hidden,start_time,time_active,description,node_ticketing_cloud,external_network_id,is_lightweight,time_to_acknowledge,nagios_url,issue_url,acknowledgement_username,external_project_id,external_issue_id,color,service_name,service_group,external_node_id,device,is_alert_stale,external_interface_id,classify_is_oncall,date_added,acknowledgement_description,host_group,alert_id,end_time,is_major_event,last_updated,acknowledgement_alert_membership_id,external_bgp_peer_id,node_name,duration,ticketing_url,network_id,host_check_pending_duration,network_name,agent_username,acknowledgement_ticketing_cloud,acknowledgement_is_classify_ticket_auto_create,network_display_name,database_url,acknowledgement_id,acknowledgement_user_id,agent_name,node_id,acknowledgement_is_active,root_cause_alert_id,flaps,severity,num_flaps,acknowledgement_external_project_id,network_profiles,agent_is_active,agent_id
NA,AMP,NA,GlobalNOC,0,2024-12-17T14:49:01Z,31,"Error performing SNMP query for description to 190.103.186.156: No response from remote host ""190.103.186.57""",GlobalNOC,7,0,NA,https://nocmon.grnoc.iu.edu/nagios/,NA,NA,59,NA,orange,Interface - 9,NA,46792,9,0,2796586,0,2024-12-17T14:50:07Z,NA,Ampath Layer 2,196652832,2024-12-17T14:50:38Z,0,2024-12-17T14:50:07Z,NA,NA,MIA-MI1-SW14,97,https://globalnoc.service-now.com,9,300,AMPATH,alertmon-nocmon,NA,NA,AMP,https://db2.grnoc.iu.edu/db-gnui,NA,NA,nocmon,579567002,NA,NA,,Unknown,0,NA,,1,19
NA,AMP,NA,GlobalNOC,0,2024-12-17T13:09:55Z,20,"Error performing SNMP query for description to 190.103.186.158: No response from remote host ""190.103.186.57""",GlobalNOC,7,0,NA,https://nocmon.grnoc.iu.edu/nagios/,NA,NA,59,NA,orange,Interface - 31,NA,46798,31,0,2796604,0,2024-12-17T13:11:12Z,NA,Ampath Layer 2,196650332,2024-12-17T13:11:32Z,0,2024-12-17T13:11:12Z,NA,NA,MIA-MI1-SW16,97,https://globalnoc.service-now.com,9,300,AMPATH,alertmon-nocmon,NA,NA,AMP,https://db2.grnoc.iu.edu/db-gnui,NA,NA,nocmon,579567022,NA,NA,,Unknown,0,NA,,1,19
NA,AMP,NA,GlobalNOC,0,2024-12-17T02:56:31Z,31,"Error performing SNMP query for description to 190.103.186.152: No response from remote host ""190.103.186.57""",GlobalNOC,7,0,NA,https://nocmon.grnoc.iu.edu/nagios/,NA,NA,59,NA,orange,Interface - 32,NA,45931,32,0,2756461,0,2024-12-17T02:57:36Z,NA,Ampath Layer 2,196633952,2024-12-17T02:58:07Z,0,2024-12-17T02:57:36Z,NA,NA,SAO-SP4-SW04,96,https://globalnoc.service-now.com,9,300,AMPATH,alertmon-nocmon,NA,NA,AMP,https://db2.grnoc.iu.edu/db-gnui,NA,NA,nocmon,579558892,NA,NA,,Unknown,0,NA,,1,19
NA,AMP,NA,GlobalNOC,0,2024-12-16T20:13:54Z,31,"Error performing SNMP query for description to 190.103.186.156: No response from remote host ""190.103.186.57""",GlobalNOC,7,0,NA,https://nocmon.grnoc.iu.edu/nagios/,NA,NA,59,NA,orange,Interface - 23,NA,46792,23,0,2942920,0,2024-12-16T20:15:05Z,NA,Ampath Layer 2,196624722,2024-12-16T20:15:36Z,0,2024-12-16T20:15:05Z,NA,NA,MIA-MI1-SW14,102,https://globalnoc.service-now.com,9,300,AMPATH,alertmon-nocmon,NA,NA,AMP,https://db2.grnoc.iu.edu/db-gnui,NA,NA,nocmon,579567002,NA,NA,,Unknown,0,NA,,1,19
NA,AMP,NA,GlobalNOC,0,2024-12-16T13:54:50Z,19,"Error performing SNMP query for description to 192.168.204.3: No response from remote host ""190.103.186.57""",GlobalNOC,7,0,NA,https://nocmon.grnoc.iu.edu/nagios/,NA,NA,59,NA,orange,Interface - 2,NA,47674,2,0,2871256,0,2024-12-16T13:56:08Z,NA,Ampath Layer 2,196612152,2024-12-16T13:56:27Z,0,2024-12-16T13:56:08Z,NA,NA,JAX-LUM-SW01,97,https://globalnoc.service-now.com,9,300,AMPATH,alertmon-nocmon,NA,NA,AMP,https://db2.grnoc.iu.edu/db-gnui,NA,NA,nocmon,579579752,NA,NA,,Unknown,0,NA,,1,19
NA,AMP,NA,GlobalNOC,0,2024-12-15T18:46:38Z,17,"Error performing SNMP query for description to 190.103.186.153: No response from remote host ""190.103.186.57""",GlobalNOC,7,0,NA,https://nocmon.grnoc.iu.edu/nagios/,NA,NA,59,NA,orange,Interface - 13,NA,47064,13,0,2828200,0,2024-12-15T18:47:55Z,NA,Ampath Layer 2,196588482,2024-12-15T18:48:12Z,0,2024-12-15T18:47:55Z,NA,NA,BCT-MI3-SW04,94,https://globalnoc.service-now.com,9,300,AMPATH,alertmon-nocmon,NA,NA,AMP,https://db2.grnoc.iu.edu/db-gnui,NA,NA,nocmon,579569572,NA,NA,,Unknown,0,NA,,1,19
NA,AMP,NA,GlobalNOC,0,2024-12-15T18:20:37Z,11,"Error performing SNMP query for description to 190.103.186.147: No response from remote host ""190.103.186.57""",GlobalNOC,7,0,NA,https://nocmon.grnoc.iu.edu/nagios/,NA,NA,59,NA,orange,Interface - 1,NA,47061,1,0,2841049,0,2024-12-15T18:22:09Z,NA,Ampath Layer 2,196588232,2024-12-15T18:22:20Z,0,2024-12-15T18:22:09Z,NA,NA,BCT-MI3-SW03,103,https://globalnoc.service-now.com,9,300,AMPATH,alertmon-nocmon,NA,NA,AMP,https://db2.grnoc.iu.edu/db-gnui,NA,NA,nocmon,579569562,NA,NA,,Unknown,0,NA,,1,19
NA,AMP,NA,GlobalNOC,0,2024-12-15T17:53:41Z,21,"Error performing SNMP query for description to 190.103.186.147: No response from remote host ""190.103.186.57""",GlobalNOC,7,0,NA,https://nocmon.grnoc.iu.edu/nagios/,NA,NA,59,NA,orange,Interface - 29,NA,47061,29,0,2827390,0,2024-12-15T17:55:00Z,NA,Ampath Layer 2,196586962,2024-12-15T17:55:21Z,0,2024-12-15T17:55:00Z,NA,NA,BCT-MI3-SW03,100,https://globalnoc.service-now.com,9,300,AMPATH,alertmon-nocmon,NA,NA,AMP,https://db2.grnoc.iu.edu/db-gnui,NA,NA,nocmon,579569562,NA,NA,,Unknown,0,NA,,1,19
NA,AMP,NA,GlobalNOC,0,2024-12-15T17:08:16Z,17,"Error performing SNMP query for description to 190.103.186.149: No response from remote host ""190.103.186.57""",GlobalNOC,7,0,NA,https://nocmon.grnoc.iu.edu/nagios/,NA,NA,59,NA,orange,Interface - 27,NA,43806,27,0,2996781,0,2024-12-15T17:09:32Z,NA,Ampath Layer 2,196585912,2024-12-15T17:09:49Z,0,2024-12-15T17:09:32Z,NA,NA,SAO-SP4-SW03,93,https://globalnoc.service-now.com,9,300,AMPATH,alertmon-nocmon,NA,NA,AMP,https://db2.grnoc.iu.edu/db-gnui,NA,NA,nocmon,579535031,NA,NA,,Unknown,0,NA,,1,19
NA,AMP,NA,GlobalNOC,0,2024-12-15T11:38:15Z,19,"Error performing SNMP query for description to 192.168.220.3: No response from remote host ""190.103.186.57""",GlobalNOC,7,0,NA,https://nocmon.grnoc.iu.edu/nagios/,NA,NA,59,NA,orange,Interface - 31,NA,47620,31,0,2989815,0,2024-12-15T11:39:20Z,NA,Ampath Layer 2,196580412,2024-12-15T11:39:39Z,0,2024-12-15T11:39:20Z,NA,NA,ATL-LUM-SW01,84,https://globalnoc.service-now.com,9,300,AMPATH,alertmon-nocmon,NA,NA,AMP,https://db2.grnoc.iu.edu/db-gnui,NA,NA,nocmon,579579362,NA,NA,,Unknown,0,NA,,1,19
